time,open,high,low,close,VWAP,MA #1,MA #2,MA #3,BB Basis,BB #1 Upper,BB #1 Lower,BB #2 Upper,BB #2 Lower,Volume,Volume MA,Amplitude
2022-02-04T13:01:00-06:00,14742,14745.75,14733.5,14737.25,14590.928875139827,14740.798989628898,14739.852247285384,14708.152404259643,14736.35,14754.623888473525,14718.076111526476,14763.760832710286,14708.939167289715,678,995.2,13.398618961142617
2022-02-04T13:02:00-06:00,14738.5,14739,14725,14733,14591.142578273884,14738.199326419266,14738.606384142588,14708.967079529819,14737.35,14752.287703973185,14722.412296026816,14759.756555959775,14714.943444040226,912,1007.8,13.437417737843093
2022-02-04T13:03:00-06:00,14732.75,14742.25,14732.25,14736.25,14591.354363852784,14737.549550946178,14738.177950662117,14709.861601512448,14737.0125,14751.727691975993,14722.297308024008,14759.08528796399,14714.939712036012,878,918.85,13.215648851530636
2022-02-04T13:04:00-06:00,14736.75,14744.75,14728,14730,14591.50694786512,14735.033033964119,14736.691050541733,14710.521876872695,14736.5,14751.440716181758,14721.559283818242,14758.911074272637,14714.088925727363,646,917.15,13.443671506270595
2022-02-04T13:05:00-06:00,14729.5,14737.25,14723.75,14736.5,14591.684776017235,14735.522022642746,14736.656314079599,14711.373618614574,14737.025,14751.169698657435,14722.880301342564,14758.242047986154,14715.807952013845,764,849.25,13.447305602640235
2022-02-04T13:06:00-06:00,14736.75,14739.75,14731,14733,14591.817938181346,14734.681348428498,14735.99152970149,14712.082680299342,14737.7375,14749.334347634474,14726.140652365524,14755.132771451712,14720.342228548287,565,803.4,13.14425362827635
2022-02-04T13:07:00-06:00,14733,14740.75,14726.5,14732.75,14591.96110323901,14734.037565618999,14735.402160664857,14712.760297338707,14738.0875,14748.586636866561,14727.588363133438,14753.836205299842,14722.338794700157,614,798.65,13.215592103871423
2022-02-04T13:08:00-06:00,14732.5,14742,14729.75,14740.25,14592.133355138832,14736.108377079332,14736.283585998519,14713.661599065308,14738.6375,14748.350217177076,14728.924782822925,14753.206575765613,14724.068424234389,720,806.2,13.153295839105525
2022-02-04T13:09:00-06:00,14740.5,14750.75,14737.75,14746.75,14592.325168582052,14739.655584719554,14738.186570362424,14714.746464669724,14739.425,14749.086909753307,14729.763090246692,14753.91786462996,14724.932135370038,763,817.95,13.143405784969683
2022-02-04T13:10:00-06:00,14747.5,14752.75,14743.5,14746.25,14592.51444004306,14741.853723146369,14739.652648478348,14715.779367467438,14739.7375,14749.847488876405,14729.627511123594,14754.902483314609,14724.57251668539,743,766.6,12.89221831497164
2022-02-04T13:11:00-06:00,14746.25,14746.25,14723.5,14733.5,14592.84283779697,14739.069148764245,14738.533985118649,14716.360371812767,14739.325,14749.741453328174,14728.908546671828,14754.94967999226,14723.700320007742,1413,797,13.52820423013476
2022-02-04T13:12:00-06:00,14733,14734,14708.25,14711.25,14593.103914763402,14729.796099176163,14733.573260551622,14716.192818638578,14737.7375,14753.654845100777,14721.820154899222,14761.613517651165,14713.861482348833,1278,835.05,14.316707183029292
